INCOME,AGE,COW,SCHL,MAR,RAC1P,SEX,DREM,DPHY,DEAR,DEYE,WAOB,ST,PUMA
0,27,0,19,0,0,1,0,0,0,0,35,0,9
1,55,0,19,0,0,0,0,0,0,0,60,0,5
0,61,2,19,0,0,1,0,0,0,0,39,0,43
0,58,1,21,0,0,0,0,0,0,0,45,0,46
0,49,0,15,2,1,1,0,0,0,0,39,0,23
0,19,4,15,4,0,0,0,0,0,0,55,0,3
0,57,2,17,0,0,1,0,0,0,0,31,0,3
0,33,2,17,4,0,0,0,0,0,0,39,0,40
0,42,2,18,4,0,1,0,0,0,0,39,0,15
0,38,0,19,4,0,0,0,0,0,0,39,2,3
0,52,0,15,4,0,1,0,0,0,0,39,0,46
0,61,0,13,2,1,1,0,0,0,0,39,0,9
1,49,0,21,0,0,0,0,0,0,0,39,0,40
0,55,3,15,0,0,1,0,0,0,0,39,0,37
0,16,0,12,4,0,0,0,0,0,0,7,0,43
0,27,1,21,0,0,1,0,0,0,0,39,0,43
0,47,0,19,0,3,1,0,0,0,0,39,3,9
0,64,1,21,2,0,1,0,0,0,0,1,0,10
0,27,0,19,4,0,0,0,0,0,0,70,0,43
1,49,0,19,0,0,0,0,0,0,0,39,0,33
0,39,0,19,4,3,1,0,0,0,0,39,3,3
0,45,6,19,2,0,0,0,0,0,0,45,0,43
0,35,0,15,4,0,0,0,0,0,0,15,0,20
1,61,0,15,0,0,0,0,0,0,0,60,0,37
0,19,2,0,4,0,1,0,0,0,0,30,0,28
1,61,4,22,2,0,1,0,0,0,0,39,0,46
0,44,0,13,3,4,0,0,0,0,0,39,0,37
0,39,0,19,0,6,1,0,0,0,0,39,0,43
0,19,0,17,4,0,1,0,0,0,0,30,0,37
0,39,0,17,0,0,0,0,0,0,0,48,0,37
0,39,0,18,0,0,1,0,0,0,0,9,0,20
0,58,1,15,0,0,1,0,0,0,0,39,0,21
0,49,2,18,0,0,1,0,0,0,0,45,0,49
1,36,0,21,2,0,0,0,0,0,0,55,0,33
0,30,2,13,4,1,0,1,0,0,0,39,0,46
0,33,6,11,0,4,0,0,0,0,0,49,2,33
0,18,0,15,4,0,1,0,0,0,0,39,0,20
0,19,4,17,4,0,0,0,0,0,0,31,0,34
0,63,0,15,0,0,1,0,0,0,0,39,0,49
0,29,0,18,0,0,1,0,0,0,0,36,0,49
1,49,0,18,2,0,0,0,0,0,0,30,0,5
0,70,0,18,0,1,1,0,0,0,0,24,2,33
0,61,0,19,2,0,0,0,0,0,0,39,0,18
0,55,0,16,0,0,0,0,0,0,0,39,0,43
1,67,2,18,0,0,0,0,0,0,0,39,4,3
0,22,0,15,4,0,0,0,0,0,0,39,0,2
0,33,6,17,0,4,1,0,0,0,0,39,2,7
0,73,5,12,0,0,0,0,0,0,0,49,0,15
0,21,0,15,4,3,0,0,0,0,0,19,3,20
0,60,5,12,4,0,0,0,1,0,0,7,0,27
0,32,0,21,0,0,0,0,0,0,0,49,0,33
1,61,0,15,0,0,0,0,0,0,0,39,0,37
0,44,0,15,3,0,1,0,0,0,0,39,2,43
0,58,0,15,2,0,1,0,0,0,0,49,0,40
0,42,5,17,2,0,1,0,0,0,0,30,0,5
0,18,0,12,4,1,1,0,0,0,0,24,0,40
0,54,0,16,0,1,0,1,1,0,0,55,0,43
0,39,0,19,0,0,1,0,0,0,0,39,0,23
0,30,0,15,4,1,0,0,0,0,0,49,0,33
0,19,0,15,4,0,1,0,0,0,0,24,0,43
0,63,7,13,0,0,0,0,0,0,0,39,2,43
0,22,4,15,0,0,0,0,0,0,0,39,0,10
0,21,3,17,4,0,1,0,0,0,0,9,0,17
0,19,0,17,4,0,1,0,0,0,0,30,0,20
0,64,4,15,1,0,0,0,0,0,0,39,0,17
0,54,0,15,0,1,1,1,1,0,1,39,0,23
1,55,0,17,0,0,0,0,0,0,0,39,0,46
1,29,0,17,4,0,0,0,0,0,0,60,0,1
0,61,0,12,0,4,1,0,0,0,0,39,2,3
0,32,0,21,0,0,1,0,0,0,0,39,0,33
0,49,0,15,2,1,1,0,0,0,0,24,0,40
0,67,6,15,0,3,1,1,1,0,0,39,3,34
0,35,2,18,0,0,1,0,0,0,0,36,0,9
0,32,0,19,0,3,1,0,0,0,0,39,0,3
0,30,2,19,4,0,0,0,0,0,0,39,0,3
1,54,6,19,3,1,0,0,0,0,0,30,5,20
0,35,2,15,4,0,1,0,0,0,0,39,0,31
0,33,2,19,0,0,1,0,0,0,0,72,0,3
0,55,5,15,2,0,1,1,0,0,0,30,0,14
0,24,3,19,4,0,0,0,0,0,0,39,2,9
0,21,0,15,0,0,1,0,0,0,0,30,0,2
0,75,0,15,0,0,0,0,0,0,0,30,0,2
0,66,0,19,0,3,1,0,0,0,0,39,3,3
0,45,0,17,4,0,0,0,0,0,0,39,0,3
0,18,0,12,4,0,1,0,0,0,0,6,0,10
0,22,0,15,4,0,1,0,0,0,0,39,0,12
0,29,0,15,4,0,0,0,0,0,0,55,0,37
0,22,0,15,4,0,0,0,0,0,0,39,0,47
0,36,0,17,0,6,0,0,0,0,0,39,0,3
1,58,6,17,0,0,1,0,0,0,0,49,0,3
0,57,0,17,2,1,0,0,0,0,1,39,0,9
0,88,5,19,0,0,0,0,0,1,0,35,0,12
0,51,0,15,0,0,0,0,0,0,0,39,0,37
0,18,0,15,4,0,0,0,0,0,0,39,0,9
0,27,0,15,4,0,0,0,0,0,0,39,0,37
1,42,4,17,2,0,0,0,0,0,0,39,0,3
0,27,0,17,4,0,1,0,0,0,0,45,0,41
0,22,0,12,4,3,0,0,0,0,0,74,0,10
1,64,5,15,1,0,1,0,0,0,0,49,0,31
0,63,2,19,0,0,1,0,0,0,0,15,0,46
